model,kind,parameters,corruption,mean_effective_sigma,accuracy,recall,specificity,auroc
teacher_seed1,spatial32_large,633729,poisson_peak_10,45.09446716308594,0.9639,0.9486,0.9792,0.99145944
teacher_seed1,spatial32_large,633729,speckle_std_0.1,12.08164176940918,0.9712,0.9536,0.9888,0.99486816
teacher_seed1,spatial32_large,633729,speckle_std_0.25,28.551174926757813,0.9715,0.9542,0.9888,0.99412204
teacher_seed1,spatial32_large,633729,saltpepper_prob_0.01,14.77031135559082,0.9727,0.9554,0.99,0.99514988
teacher_seed1,spatial32_large,633729,saltpepper_prob_0.05,33.611602020263675,0.9713,0.953,0.9896,0.99419032
teacher_seed1,spatial32_large,633729,sinusoid_amp_15,10.16884708404541,0.9709,0.955,0.9868,0.99408808
teacher_seed1,spatial32_large,633729,sinusoid_amp_30,19.899620819091798,0.9405,0.9528,0.9282,0.98406464
teacher_seed2,spatial32_large,633729,clean,0.0,0.9705,0.951,0.99,0.995306
teacher_seed2,spatial32_large,633729,awgn_15,14.110708045959473,0.9679,0.9464,0.9894,0.99525228
teacher_seed2,spatial32_large,633729,awgn_50,43.03029174804688,0.9637,0.9376,0.9898,0.99216804
teacher_seed2,spatial32_large,633729,awgn_100,75.38477172851563,0.9299,0.9048,0.955,0.97921476
teacher_seed2,spatial32_large,633729,corr_awgn_25,22.40528259277344,0.9641,0.9512,0.977,0.9914144
teacher_seed2,spatial32_large,633729,corr_awgn_50,42.20136642456055,0.9064,0.958,0.8548,0.97907444
teacher_seed2,spatial32_large,633729,poisson_peak_30,27.48263053894043,0.9655,0.9414,0.9896,0.99393
teacher_seed2,spatial32_large,633729,poisson_peak_10,45.09446716308594,0.9623,0.937,0.9876,0.99110924
teacher_seed2,spatial32_large,633729,speckle_std_0.1,12.08164176940918,0.9686,0.9484,0.9888,0.99486156
teacher_seed2,spatial32_large,633729,speckle_std_0.25,28.551174926757813,0.966,0.9426,0.9894,0.9937712
teacher_seed2,spatial32_large,633729,saltpepper_prob_0.01,14.77031135559082,0.9695,0.9498,0.9892,0.99492868
teacher_seed2,spatial32_large,633729,saltpepper_prob_0.05,33.611602020263675,0.9665,0.942,0.991,0.99370604
teacher_seed2,spatial32_large,633729,sinusoid_amp_15,10.16884708404541,0.9693,0.9502,0.9884,0.99420786
teacher_seed2,spatial32_large,633729,sinusoid_amp_30,19.899620819091798,0.9434,0.942,0.9448,0.98423426
teacher_seed3,spatial32_large,633729,clean,0.0,0.9765,0.967,0.986,0.995756
teacher_seed3,spatial32_large,633729,awgn_15,14.110708045959473,0.9755,0.9624,0.9886,0.99519556
teacher_seed3,spatial32_large,633729,awgn_50,43.03029174804688,0.9732,0.9592,0.9872,0.99396338
teacher_seed3,spatial32_large,633729,awgn_100,75.38477172851563,0.9407,0.926,0.9554,0.97980108
teacher_seed3,spatial32_large,633729,corr_awgn_25,22.40528259277344,0.9472,0.968,0.9264,0.9893978
teacher_seed3,spatial32_large,633729,corr_awgn_50,42.20136642456055,0.8927,0.9724,0.813,0.9797704
teacher_seed3,spatial32_large,633729,poisson_peak_30,27.48263053894043,0.9762,0.9632,0.9892,0.99475248
teacher_seed3,spatial32_large,633729,poisson_peak_10,45.09446716308594,0.9709,0.956,0.9858,0.99279548
teacher_seed3,spatial32_large,633729,speckle_std_0.1,12.08164176940918,0.9764,0.9638,0.989,0.99491798
teacher_seed3,spatial32_large,633729,speckle_std_0.25,28.551174926757813,0.9755,0.962,0.989,0.9952182
teacher_seed3,spatial32_large,633729,saltpepper_prob_0.01,14.77031135559082,0.9775,0.9678,0.9872,0.99515428
teacher_seed3,spatial32_large,633729,saltpepper_prob_0.05,33.611602020263675,0.9758,0.9644,0.9872,0.99456662
teacher_seed3,spatial32_large,633729,sinusoid_amp_15,10.16884708404541,0.9767,0.9682,0.9852,0.99428852
teacher_seed3,spatial32_large,633729,sinusoid_amp_30,19.899620819091798,0.9513,0.96,0.9426,0.98795536
