model,kind,parameters,corruption,mean_effective_sigma,accuracy,recall,specificity,auroc
diverse_conditioned,spatial32_conditional,42401,corr_awgn_25,22.40528259277344,0.9819,0.9712,0.9926,0.99626096
diverse_conditioned,spatial32_conditional,42401,corr_awgn_50,42.20136642456055,0.9406,0.9492,0.932,0.98631004
diverse_conditioned,spatial32_conditional,42401,poisson_peak_30,27.48263053894043,0.9824,0.9726,0.9922,0.99633988
diverse_conditioned,spatial32_conditional,42401,poisson_peak_10,45.09446716308594,0.975,0.9628,0.9872,0.99246256
diverse_conditioned,spatial32_conditional,42401,speckle_std_0.1,12.08164176940918,0.9859,0.9804,0.9914,0.99835256
diverse_conditioned,spatial32_conditional,42401,speckle_std_0.25,28.551174926757813,0.9819,0.972,0.9918,0.99646784
diverse_conditioned,spatial32_conditional,42401,saltpepper_prob_0.01,14.77031135559082,0.9818,0.9718,0.9918,0.99626638
diverse_conditioned,spatial32_conditional,42401,saltpepper_prob_0.05,33.611602020263675,0.9725,0.9578,0.9872,0.99262832
diverse_conditioned,spatial32_conditional,42401,sinusoid_amp_15,10.16884708404541,0.9832,0.9728,0.9936,0.99780304
diverse_conditioned,spatial32_conditional,42401,sinusoid_amp_30,19.899620819091798,0.9766,0.9588,0.9944,0.99627738
diverse_teacher,spatial32_large,633729,clean,0.0,0.9715,0.954,0.989,0.995334
diverse_teacher,spatial32_large,633729,awgn_15,14.110708045959473,0.9698,0.9506,0.989,0.99497664
diverse_teacher,spatial32_large,633729,awgn_50,43.03029174804688,0.9664,0.9448,0.988,0.99208444
diverse_teacher,spatial32_large,633729,awgn_100,75.38477172851563,0.928,0.937,0.919,0.98009976
diverse_teacher,spatial32_large,633729,corr_awgn_25,22.40528259277344,0.9611,0.9574,0.9648,0.99081304
diverse_teacher,spatial32_large,633729,corr_awgn_50,42.20136642456055,0.8865,0.971,0.802,0.97936788
diverse_teacher,spatial32_large,633729,poisson_peak_30,27.48263053894043,0.971,0.9522,0.9898,0.99396764
diverse_teacher,spatial32_large,633729,poisson_peak_10,45.09446716308594,0.9639,0.9486,0.9792,0.99145944
diverse_teacher,spatial32_large,633729,speckle_std_0.1,12.08164176940918,0.9712,0.9536,0.9888,0.99486816
diverse_teacher,spatial32_large,633729,speckle_std_0.25,28.551174926757813,0.9715,0.9542,0.9888,0.99412204
diverse_teacher,spatial32_large,633729,saltpepper_prob_0.01,14.77031135559082,0.9727,0.9554,0.99,0.99514988
diverse_teacher,spatial32_large,633729,saltpepper_prob_0.05,33.611602020263675,0.9713,0.953,0.9896,0.99419032
diverse_teacher,spatial32_large,633729,sinusoid_amp_15,10.16884708404541,0.9709,0.955,0.9868,0.99408808
diverse_teacher,spatial32_large,633729,sinusoid_amp_30,19.899620819091798,0.9405,0.9528,0.9282,0.98406464
