model,true_nominal_sigma,mean_effective_sigma,supplied_sigma,rmse,binary_accuracy,binary_balanced_accuracy
diverse_conditional_oracle,50.0,44.79533004760742,75,0.34022126654236623,0.7322902425130209,0.763627889537857
diverse_conditional_oracle,50.0,44.79533004760742,100,0.3638546071174842,0.7016649373372396,0.7385973587962713
diverse_conditional_oracle,50.0,44.79533004760742,125,0.37165318749946863,0.6905094401041667,0.7288515106843854
diverse_conditional_oracle,50.0,44.79533004760742,150,0.35832498856141226,0.7063817342122396,0.7383247241192588
diverse_conditional_oracle,50.0,44.79533004760742,oracle_effective,0.2654378990398665,0.8154844156901042,0.8176994768223986
diverse_conditional_oracle,100.0,76.86820220947266,0,0.5608326619241594,0.587637939453125,0.5
diverse_conditional_oracle,100.0,76.86820220947266,25,0.46725068572539574,0.6351124064127605,0.5593473903404573
diverse_conditional_oracle,100.0,76.86820220947266,50,0.38483199044652117,0.6406336466471354,0.5738924131465453
diverse_conditional_oracle,100.0,76.86820220947266,75,0.29319257834878054,0.7741944376627604,0.7750430187324686
diverse_conditional_oracle,100.0,76.86820220947266,100,0.32201759133478275,0.7365591430664062,0.7566857500402582
diverse_conditional_oracle,100.0,76.86820220947266,125,0.33100024586398596,0.7284068806966146,0.7478928114968046
diverse_conditional_oracle,100.0,76.86820220947266,150,0.3359842443527247,0.7342725626627604,0.7403480290303122
diverse_conditional_oracle,100.0,76.86820220947266,oracle_effective,0.2942179181317611,0.7731735229492187,0.7772936550875535
diverse_conditional_robust,50.0,44.79533004760742,0,0.38183491750523724,0.6674783325195313,0.5984924216918439
diverse_conditional_robust,50.0,44.79533004760742,25,0.2789247276676617,0.794384765625,0.778072281166182
diverse_conditional_robust,50.0,44.79533004760742,50,0.28113072212658335,0.7911342366536458,0.7922476119757643
diverse_conditional_robust,50.0,44.79533004760742,75,0.29032220047802937,0.7794940185546875,0.7866625043885166
diverse_conditional_robust,50.0,44.79533004760742,100,0.2987344363419999,0.7691569010416667,0.778509711099571
diverse_conditional_robust,50.0,44.79533004760742,125,0.3116564102941442,0.7531545003255208,0.765108073015641
diverse_conditional_robust,50.0,44.79533004760742,150,0.3292596160025109,0.731962890625,0.7478128457092308
diverse_conditional_robust,50.0,44.79533004760742,oracle_effective,0.27803387223058434,0.7948930867513021,0.793853270376476
diverse_conditional_robust,100.0,76.86820220947266,0,0.47474179987204945,0.5880166625976563,0.5004592119168638
diverse_conditional_robust,100.0,76.86820220947266,25,0.3474576943214063,0.6828227742513021,0.6252769486776536
diverse_conditional_robust,100.0,76.86820220947266,50,0.32220766449854643,0.7381557210286458,0.7180627753023281
diverse_conditional_robust,100.0,76.86820220947266,75,0.3192419429805124,0.7440481567382813,0.7379810400187424
diverse_conditional_robust,100.0,76.86820220947266,100,0.32157941197973594,0.7381309000651042,0.7393862038872365
diverse_conditional_robust,100.0,76.86820220947266,125,0.33135733258320904,0.721683858235677,0.7301914759424548
diverse_conditional_robust,100.0,76.86820220947266,150,0.34749473606908754,0.6977471923828125,0.7146296146648097
diverse_conditional_robust,100.0,76.86820220947266,oracle_effective,0.3187887950351092,0.7446251424153646,0.7396115903906473
