model,kind,base_channels,parameters,corruption,mean_effective_sigma,rmse_to_clean_teacher,binary_accuracy_to_clean_teacher,binary_balanced_accuracy_to_clean_teacher,binary_agreement_with_own_clean_output,mae_from_own_clean_output
baseline_awgn50,unet,16,761665,speckle_std_0.25,27.55811373392741,0.21587853234300564,0.855938212076823,0.8547082399878778,0.9301565551757812,0.06161974867184957
baseline_awgn50,unet,16,761665,saltpepper_prob_0.01,14.510390281677246,0.21372277747708734,0.862274881998698,0.8657423646182583,0.9627102661132811,0.046224078784386315
baseline_awgn50,unet,16,761665,saltpepper_prob_0.05,32.52815373738607,0.26189436235461694,0.8083907063802084,0.7869970262072694,0.8347694905598958,0.1341665287812551
baseline_awgn50,unet,16,761665,sinusoid_amp_15,10.434033393859863,0.21703908481280532,0.856545918782552,0.8616530463006997,0.9613440958658854,0.03074327918390433
baseline_awgn50,unet,16,761665,sinusoid_amp_30,20.551355997721355,0.2627894008579765,0.8283598836263021,0.8246066476800926,0.8995189412434895,0.09141125281651814
awgn50_paired,unet,16,761665,clean,0.0,0.1474331643769373,0.9123797607421875,0.9137187690011939,1.0,0.0
awgn50_paired,unet,16,761665,awgn_15,14.555205980936686,0.1728139214484477,0.8922041829427083,0.8888693763993979,0.9474224853515625,0.04414073502024015
awgn50_paired,unet,16,761665,awgn_50,44.777400970458984,0.22810509035267587,0.8433009847005208,0.8407457671479373,0.878280029296875,0.10323545585076015
awgn50_paired,unet,16,761665,awgn_75,62.56975428263346,0.2725364322896124,0.7959585571289063,0.7919471913569244,0.822982889811198,0.15393206477165222
awgn50_paired,unet,16,761665,awgn_100,76.81286112467448,0.31517011263091005,0.7413362630208333,0.7403765183422214,0.7601774088541667,0.20110521713892618
awgn50_paired,unet,16,761665,awgn_125,87.89681752522786,0.35191884119022154,0.6871206665039062,0.6905570923199327,0.7033562215169272,0.2402824560801188
awgn50_paired,unet,16,761665,awgn_150,96.28637186686198,0.3826584492477514,0.636937967936198,0.648783086645125,0.651277567545573,0.27286627888679504
awgn50_paired,unet,16,761665,corr_awgn_25,23.65495491027832,0.5311735954013206,0.5921942138671875,0.505564411308961,0.5696476236979167,0.38686950008074444
awgn50_paired,unet,16,761665,corr_awgn_50,44.56797409057617,0.5676330941927192,0.5876524861653646,0.500017711857138,0.5648904418945312,0.42262595891952515
awgn50_paired,unet,16,761665,poisson_peak_30,28.075403849283855,0.19743967451557945,0.8695832316080729,0.8664840365980723,0.9222293090820313,0.06310449788967769
awgn50_paired,unet,16,761665,poisson_peak_10,46.30804951985677,0.22899487097045793,0.8436192830403646,0.8410737677731788,0.8849063110351563,0.09964024275541306
awgn50_paired,unet,16,761665,speckle_std_0.1,11.499993960062662,0.16449701919394522,0.9008245849609375,0.8985039603495488,0.9648744710286459,0.03318604206045469
awgn50_paired,unet,16,761665,speckle_std_0.25,27.55811373392741,0.1969359132356635,0.8711474609375,0.8684681199665493,0.926336669921875,0.06152506669362386
awgn50_paired,unet,16,761665,saltpepper_prob_0.01,14.510390281677246,0.17926928150111013,0.897320556640625,0.8886401980674352,0.9442445882161459,0.06174758200844129
awgn50_paired,unet,16,761665,saltpepper_prob_0.05,32.52815373738607,0.3024592049038348,0.7588573201497396,0.7152409350411829,0.7709162394205729,0.1713222215572993
awgn50_paired,unet,16,761665,sinusoid_amp_15,10.434033393859863,0.2914515464336755,0.8226535034179687,0.7999601396822091,0.8530453491210938,0.12642825643221536
awgn50_paired,unet,16,761665,sinusoid_amp_30,20.551355997721355,0.37888874597677125,0.7582359822591146,0.7309945842721715,0.7728048706054688,0.20967101057370505
awgn50_conditional,unet_conditional,16,761825,clean,0.0,0.11981690575933215,0.937220458984375,0.9364476958019627,1.0,0.0
awgn50_conditional,unet_conditional,16,761825,awgn_15,14.555205980936686,0.15591030912990325,0.9075014241536459,0.9059719440309644,0.9523443603515626,0.041976798325777054
awgn50_conditional,unet_conditional,16,761825,awgn_50,44.777400970458984,0.2226029320323667,0.8484599812825521,0.8463447401641626,0.8738961791992188,0.10496398558219273
awgn50_conditional,unet_conditional,16,761825,awgn_75,62.56975428263346,0.2686331156620147,0.8040869140625,0.7954454326461105,0.8196394856770833,0.1515290985504786
awgn50_conditional,unet_conditional,16,761825,awgn_100,76.81286112467448,0.31397861725000337,0.7543959554036458,0.7331918058902263,0.7616646321614584,0.19321384032567343
awgn50_conditional,unet_conditional,16,761825,awgn_125,87.89681752522786,0.3517494942525223,0.7161618041992187,0.6841346021683691,0.7208822631835937,0.22471067309379578
awgn50_conditional,unet_conditional,16,761825,awgn_150,96.28637186686198,0.3740674732360124,0.6921383666992188,0.6529315311429066,0.6945685831705729,0.24547300239404043
awgn50_conditional,unet_conditional,16,761825,corr_awgn_25,23.65495491027832,0.48935294125222156,0.6021859741210938,0.5180943866037078,0.5973802693684895,0.3379818797111511
awgn50_conditional,unet_conditional,16,761825,corr_awgn_50,44.56797409057617,0.5468169775971943,0.588575439453125,0.5011680890333806,0.5819891357421875,0.3961634337902069
awgn50_conditional,unet_conditional,16,761825,poisson_peak_30,28.075403849283855,0.200341969848799,0.8677977498372396,0.8671895760139154,0.9024636840820311,0.07943042864402135
awgn50_conditional,unet_conditional,16,761825,poisson_peak_10,46.30804951985677,0.24317030067253825,0.8333963012695312,0.8298362491147253,0.8580148315429686,0.11619358013073604
awgn50_conditional,unet_conditional,16,761825,speckle_std_0.1,11.499993960062662,0.1545080155613535,0.9088825480143229,0.9094792250206138,0.9509616088867188,0.04398507749040922
awgn50_conditional,unet_conditional,16,761825,speckle_std_0.25,27.55811373392741,0.2226455928995626,0.8521351114908854,0.8522342807449074,0.8829678344726563,0.09625876198212306
awgn50_conditional,unet_conditional,16,761825,saltpepper_prob_0.01,14.510390281677246,0.2437281217200978,0.836112060546875,0.8176564620691961,0.8667104085286459,0.11970216532548268
awgn50_conditional,unet_conditional,16,761825,saltpepper_prob_0.05,32.52815373738607,0.33344274185170747,0.735241190592448,0.697260748802786,0.7529542032877604,0.1941586136817932
awgn50_conditional,unet_conditional,16,761825,sinusoid_amp_15,10.434033393859863,0.24043830174673622,0.844349365234375,0.8252081283022371,0.8740814208984374,0.09758128225803375
awgn50_conditional,unet_conditional,16,761825,sinusoid_amp_30,20.551355997721355,0.3286176374931456,0.7948963419596354,0.7720336240375383,0.815671895345052,0.1675551434357961
awgn100_tiny,unet,8,190753,clean,0.0,0.2160926843572055,0.8568341064453125,0.8640731825352276,1.0,0.0
awgn100_tiny,unet,8,190753,awgn_15,14.555205980936686,0.2157721608994167,0.8591956583658854,0.8624063525596475,0.970497538248698,0.023719504475593567
awgn100_tiny,unet,8,190753,awgn_50,44.777400970458984,0.24268816562470322,0.8311569213867187,0.8291692002291288,0.901803487141927,0.07158746818701427
awgn100_tiny,unet,8,190753,awgn_75,62.56975428263346,0.2649258037131007,0.8052437337239583,0.8018214467086473,0.8662925211588542,0.0987444818019867
awgn100_tiny,unet,8,190753,awgn_100,76.81286112467448,0.2867511447319256,0.7794327799479167,0.7725947578826557,0.8313425699869792,0.12387296309073766
awgn100_tiny,unet,8,190753,awgn_125,87.89681752522786,0.311313668376088,0.7473675537109375,0.734672869828553,0.7856296793619792,0.15350895623366037
awgn100_tiny,unet,8,190753,awgn_150,96.28637186686198,0.3304123291468418,0.7212587483723958,0.7096249785497506,0.7535260009765624,0.17466088632742563
awgn100_tiny,unet,8,190753,corr_awgn_25,23.65495491027832,0.41261436088677006,0.637360331217448,0.5620729855590559,0.5815967814127604,0.2871699432531993
awgn100_tiny,unet,8,190753,corr_awgn_50,44.56797409057617,0.5159313142231616,0.5891506958007813,0.5019123262877462,0.5244212849934896,0.3946339686711629
awgn100_tiny,unet,8,190753,poisson_peak_30,28.075403849283855,0.2245819640494457,0.8506135050455729,0.8492380894145385,0.9395169067382811,0.04539317140976588
awgn100_tiny,unet,8,190753,poisson_peak_10,46.30804951985677,0.2423252543913273,0.8338795979817708,0.831099714469283,0.9130318196614583,0.06601629654566447
awgn100_tiny,unet,8,190753,speckle_std_0.1,11.499993960062662,0.21557084842473828,0.8594381713867187,0.8643244369546716,0.9811441040039063,0.016414477800329525
awgn100_tiny,unet,8,190753,speckle_std_0.25,27.55811373392741,0.2257050994188457,0.850142822265625,0.8501292703533788,0.9452766927083333,0.04327133670449257
awgn100_tiny,unet,8,190753,saltpepper_prob_0.01,14.510390281677246,0.21914962840052843,0.8618212890625,0.8646087309575133,0.9689615885416667,0.03431625415881475
awgn100_tiny,unet,8,190753,saltpepper_prob_0.05,32.52815373738607,0.28024690626525106,0.7916541544596354,0.7663194573265981,0.8210840861002605,0.12139994651079178
awgn100_tiny,unet,8,190753,sinusoid_amp_15,10.434033393859863,0.2205780942197473,0.850181884765625,0.8524194035622744,0.9674241129557292,0.020305630440513294
awgn100_tiny,unet,8,190753,sinusoid_amp_30,20.551355997721355,0.25160356643373016,0.8275519816080729,0.8251610133458065,0.9156480916341145,0.06119840840498606
awgn100,unet,16,761665,clean,0.0,0.16613752329892834,0.90136474609375,0.9003787736133197,1.0,0.0
awgn100,unet,16,761665,awgn_15,14.555205980936686,0.1898793451103973,0.8833792114257812,0.8739598037572246,0.9489964803059895,0.04262011746565501
awgn100,unet,16,761665,awgn_50,44.777400970458984,0.2313080079223884,0.8385313924153646,0.835310029714292,0.8984447224934895,0.08083139608303706
awgn100,unet,16,761665,awgn_75,62.56975428263346,0.2601491216973437,0.8074997965494791,0.8100241576204039,0.8624381510416667,0.11398926625649135
awgn100,unet,16,761665,awgn_100,76.81286112467448,0.2843622581695156,0.7784828694661459,0.7843245849721077,0.8253344726562499,0.1429877628882726
