model,kind,base_channels,parameters,corruption,mean_effective_sigma,rmse_to_clean_teacher,binary_accuracy_to_clean_teacher,binary_balanced_accuracy_to_clean_teacher,binary_agreement_with_own_clean_output,mae_from_own_clean_output
awgn_s2,unet,16,761665,awgn_75,62.56975428263346,0.25638934517659434,0.8137623087565105,0.814686764294428,0.8562507120768229,0.11164292444785436
awgn_s2,unet,16,761665,awgn_100,76.81286112467448,0.280552053656256,0.788300272623698,0.7877000326645969,0.8225448608398437,0.13778463502724966
awgn_s2,unet,16,761665,awgn_125,87.89681752522786,0.303663134647653,0.7602914428710937,0.7547388319578511,0.7873489379882813,0.16613932450612387
awgn_s2,unet,16,761665,awgn_150,96.28637186686198,0.3283392416922577,0.7264954630533854,0.7203761069206539,0.7451341756184896,0.1929655373096466
awgn_s2,unet,16,761665,corr_awgn_25,23.65495491027832,0.5082789302244227,0.5954100545247396,0.5095455253626989,0.5552694702148436,0.38064725200335187
awgn_s2,unet,16,761665,corr_awgn_50,44.56797409057617,0.5614227048913859,0.5877100626627604,0.5000875248963388,0.5469377644856771,0.4359961152076721
awgn_s2,unet,16,761665,poisson_peak_30,28.075403849283855,0.19869405460473932,0.8713606770833333,0.8635919121565532,0.912608642578125,0.06509773184855779
awgn_s2,unet,16,761665,poisson_peak_10,46.30804951985677,0.2275294623494881,0.8436921183268229,0.841420129136977,0.8906802368164063,0.0816156417131424
awgn_s2,unet,16,761665,speckle_std_0.1,11.499993960062662,0.16969547270810864,0.9046316528320313,0.904190432929471,0.9666854858398438,0.03196909775336584
awgn_s2,unet,16,761665,speckle_std_0.25,27.55811373392741,0.1964236419735377,0.8776312255859375,0.8726315570422672,0.9225419108072916,0.059455117831627526
awgn_s2,unet,16,761665,saltpepper_prob_0.01,14.510390281677246,0.16845744540709578,0.9084441121419271,0.9061399270429825,0.9596546427408854,0.038294327755769096
awgn_s2,unet,16,761665,saltpepper_prob_0.05,32.52815373738607,0.22549765630436056,0.8446726481119792,0.8214318217526171,0.8501808675130208,0.11043185244003932
awgn_s2,unet,16,761665,sinusoid_amp_15,10.434033393859863,0.28150473987354924,0.8141780598958334,0.7899322505809465,0.8461069742838542,0.11726868649323781
awgn_s2,unet,16,761665,sinusoid_amp_30,20.551355997721355,0.3680048824117469,0.7593611653645833,0.726893306241132,0.7732684326171876,0.1969587653875351
awgn_s3,unet,16,761665,clean,0.0,0.1666963661195166,0.904119873046875,0.9050114376588145,1.0,0.0
awgn_s3,unet,16,761665,awgn_15,14.555205980936686,0.18236487640944354,0.8919680786132812,0.8856740169565454,0.9537352498372395,0.037698580573002495
awgn_s3,unet,16,761665,awgn_50,44.777400970458984,0.23282223487984452,0.8374288940429687,0.8403891050923583,0.8940451049804686,0.07753121356169383
awgn_s3,unet,16,761665,awgn_75,62.56975428263346,0.2652081139555092,0.8033209228515625,0.8117814909144917,0.855093994140625,0.11219040056069692
awgn_s3,unet,16,761665,awgn_100,76.81286112467448,0.2871932540314342,0.7783913167317709,0.7881854474933642,0.8218495686848959,0.1389080435037613
awgn_s3,unet,16,761665,awgn_125,87.89681752522786,0.307804435811217,0.7519558715820313,0.7584869279883719,0.7886475626627605,0.1666740675767263
awgn_s3,unet,16,761665,awgn_150,96.28637186686198,0.3237268630458449,0.7322059122721354,0.7387352797884528,0.7600064086914062,0.18754020829995474
awgn_s3,unet,16,761665,corr_awgn_25,23.65495491027832,0.5103551111555601,0.5941072591145833,0.5078791734007403,0.5725551350911459,0.3646279772122701
awgn_s3,unet,16,761665,corr_awgn_50,44.56797409057617,0.5580908231776093,0.5876406860351563,0.5000033303039901,0.5659048461914061,0.4145794212818146
awgn_s3,unet,16,761665,poisson_peak_30,28.075403849283855,0.20329610378457513,0.8639876302083334,0.857612074378233,0.925755615234375,0.051800778756539025
awgn_s3,unet,16,761665,poisson_peak_10,46.30804951985677,0.23103137226736392,0.840555419921875,0.8408289899408987,0.901473388671875,0.07367808371782303
awgn_s3,unet,16,761665,speckle_std_0.1,11.499993960062662,0.17635025884546138,0.8991814168294271,0.8962586055665345,0.9714568074544271,0.026372288664182026
awgn_s3,unet,16,761665,speckle_std_0.25,27.55811373392741,0.20206507869198545,0.8685760498046875,0.8646873658865233,0.9326118977864583,0.049212392419576645
awgn_s3,unet,16,761665,saltpepper_prob_0.01,14.510390281677246,0.17537141819776275,0.9018984985351562,0.898435121487753,0.971082255045573,0.028838157032926876
awgn_s3,unet,16,761665,saltpepper_prob_0.05,32.52815373738607,0.2060471085952807,0.866859130859375,0.8569919562194279,0.9173854573567709,0.06278458361824353
awgn_s3,unet,16,761665,sinusoid_amp_15,10.434033393859863,0.2631215030184157,0.8336766560872396,0.812754359874426,0.877630106608073,0.09380148351192474
awgn_s3,unet,16,761665,sinusoid_amp_30,20.551355997721355,0.3420013276656503,0.78312255859375,0.7555133938842687,0.8107041422526041,0.16469057401021323
cond_s1,unet_conditional,16,761825,clean,0.0,0.1467222293913683,0.91501220703125,0.9156725421381648,1.0,0.0
cond_s1,unet_conditional,16,761825,awgn_15,14.555205980936686,0.16994893338504513,0.9001327514648437,0.8985322025828126,0.9595179239908854,0.04116615280508995
cond_s1,unet_conditional,16,761825,awgn_50,44.777400970458984,0.2230277919561023,0.8460540771484375,0.8464871762472091,0.8919307454427083,0.08818012475967407
cond_s1,unet_conditional,16,761825,awgn_75,62.56975428263346,0.2565199091222168,0.8140081787109374,0.8191849338014433,0.8580145263671874,0.1195905754963557
cond_s1,unet_conditional,16,761825,awgn_100,76.81286112467448,0.28030406820950365,0.7881622314453125,0.795357456565142,0.8248028564453125,0.14611531794071198
cond_s1,unet_conditional,16,761825,awgn_125,87.89681752522786,0.3011716889468251,0.7630117797851562,0.7668118184147683,0.7920618693033855,0.17320202787717184
cond_s1,unet_conditional,16,761825,awgn_150,96.28637186686198,0.32191690879782436,0.7367678833007812,0.7404304539048816,0.7601290893554687,0.19688580433527628
cond_s1,unet_conditional,16,761825,corr_awgn_25,23.65495491027832,0.48614667561161706,0.6132122802734375,0.5320576872639304,0.5992985026041666,0.34078095356623334
cond_s1,unet_conditional,16,761825,corr_awgn_50,44.56797409057617,0.530413129158213,0.5983625284830729,0.513817171821343,0.5824679565429688,0.38505574067433673
cond_s1,unet_conditional,16,761825,poisson_peak_30,28.075403849283855,0.19725268028803822,0.8699802652994791,0.8650494524314845,0.9167879231770834,0.06762625773747762
cond_s1,unet_conditional,16,761825,poisson_peak_10,46.30804951985677,0.23665285784569146,0.8352715047200521,0.834455580891255,0.876724141438802,0.09703652064005534
cond_s1,unet_conditional,16,761825,speckle_std_0.1,11.499993960062662,0.16753516121933856,0.9032610066731771,0.9041509735915123,0.9649870808919271,0.03839573015769323
cond_s1,unet_conditional,16,761825,speckle_std_0.25,27.55811373392741,0.20744497177609547,0.8612782796223958,0.8572738850845316,0.9078395589192708,0.0734379415710767
