epoch,train_mse,selection_mean_rmse
1,0.16679556399583817,0.3941884636015955
2,0.1591021728515625,0.39509152495477046
3,0.1495573767274618,0.3805316516925909
4,0.14368067003786564,0.3751895597599893
5,0.13681771576404572,0.3691199179788065
6,0.13298575222492218,0.36333172538448455
7,0.13018449544906616,0.35684704932589173
8,0.1282653371244669,0.3585486343255581
9,0.12271225988864899,0.3521525901370692
10,0.11847379393875598,0.34504327700376947
11,0.11329622454941272,0.3327322583653876
12,0.10050726301968098,0.3157216837159346
13,0.0853576983138919,0.30158950181698024
14,0.07685382567346095,0.29484556768258635
15,0.07118691913783551,0.28587634679012136
16,0.06804378200322389,0.2751860677556248
17,0.0640888349711895,0.2760172574238741
18,0.0618691810593009,0.26388472630580573
19,0.06256362609565258,0.2732929377752464
20,0.06078506525605917,0.26077480486560783
21,0.05987972669303417,0.26711499976926967
22,0.05884096490219235,0.2628587555611672
23,0.056209885664284226,0.25947037611712626
24,0.0562492660805583,0.2713768480414433
25,0.056243114843964576,0.25287196651747545
26,0.0545010288618505,0.252019970476611
27,0.05541066544130444,0.24952049385493713
28,0.054386310540139676,0.26034716065738367
29,0.0542294124700129,0.255835847446379
30,0.051555097606033086,0.2674349947057585
31,0.05356000440195203,0.24475465822950446
32,0.053284550942480566,0.24182744436417944
33,0.05136540086939931,0.24558470025244902
34,0.05024050740525127,0.24354214555420786
35,0.050816263183951375,0.2460588089611714
36,0.04934716464951634,0.23977396443211166
37,0.049363546390086416,0.2544208596811755
38,0.047238811738789084,0.2286005518588082
39,0.04619313774630427,0.23411662498286676
40,0.04890219675377011,0.24869221203705125
