epoch,train_loss,supervised_mse,consistency_mse,selection_mean_rmse
1,0.18979944929480552,0.1897936399281025,2.3237400164362043e-05,0.42411150279478943
2,0.18823198333382607,0.1882292877137661,1.0784141354633902e-05,0.4268677052703369
3,0.1877605639398098,0.18775263756513597,3.17053280377877e-05,0.4243402009768834
4,0.185694178044796,0.18565691664814948,0.0001490438974178687,0.4173411218650022
5,0.1617311767488718,0.1612097803503275,0.0020855863044198487,0.41257893347664976
6,0.15998732551932335,0.15968248941004276,0.001219344584569626,0.3999625808354228
7,0.16243118345737456,0.16222125872969628,0.0008397004479775205,0.3920716164651951
8,0.15103174366056918,0.15085535250604154,0.0007055627794034081,0.4504112779015551
9,0.13588332556188107,0.1354067984968424,0.0019061092410993298,0.3306475109172298
10,0.10711506251245737,0.10536542806774378,0.006998536110622808,0.330153708089565
11,0.09627843447029591,0.09273425690829754,0.014176710010506213,0.32256043488180103
12,0.07481251291930675,0.07148187175393104,0.013322566393762827,0.3037675689025084
13,0.06442042481154203,0.06141957800835371,0.012003387823933736,0.2973923784542323
14,0.061933684293180705,0.0587344791740179,0.012796819168142974,0.2559250456278751
15,0.05648552045226097,0.05252385502681136,0.015846661562100052,0.25261827642859125
16,0.05851781392470002,0.054566487353295084,0.01580530661623925,0.2511587151836953
17,0.054015854522585866,0.05012282233685255,0.015572128056082874,0.2467632347050195
18,0.0516690887697041,0.04743901219218969,0.01692030713427812,0.24161283580713672
19,0.051395782604813575,0.046899174973368644,0.017986430686432867,0.24356466635153623
20,0.052896197754889726,0.04827282866463065,0.018493476915173234,0.25060438036909927
21,0.049311379194259645,0.04481811303645372,0.01797306499676779,0.2443959443448325
22,0.05015825878828764,0.04507811699062586,0.02032056721393019,0.23603592285163466
23,0.04866315199062228,0.04398599730804562,0.01870861818548292,0.2385389145073286
24,0.04937005683779717,0.044584670718759295,0.01914154428523034,0.24298560514049325
25,0.04733224038034677,0.04257809866219759,0.01901656744070351,0.2407681491804381
26,0.04504093954339623,0.040418660659343006,0.018489115848205985,0.22812083891334423
27,0.0474444546084851,0.04246257681399584,0.019927511278074236,0.24657781270897822
28,0.04499312445521355,0.04010029282420874,0.019571326319128276,0.2362864417134993
29,0.043830678071826695,0.039117595795542,0.01885232901899144,0.23711556720545882
30,0.044733383115381005,0.03958043264225125,0.020611802267376335,0.22995995742685785
31,0.0426182328350842,0.037772658793255684,0.019382296516560017,0.2330979619834768
32,0.04375723368488252,0.03856834514066577,0.020755553853232415,0.24300583347588006
33,0.04351796019822359,0.038448928352445365,0.020276127294637264,0.23145936527940772
34,0.040816599037498236,0.03566421665251255,0.020609529088251293,0.22734664682684014
35,0.04311998058110476,0.037703506806865336,0.021665894687175752,0.23174728713390044
36,0.0404045610781759,0.03537627616897225,0.02011313959257677,0.22504343960290604
37,0.041277055367827414,0.03594514038413763,0.02132766092196107,0.24430483331317715
38,0.041205376368016,0.03595625733025372,0.020996475778520107,0.22787555460702946
39,0.03892236301675439,0.03387207399122417,0.02020115570630878,0.22321183966127947
40,0.03835345161147416,0.033230481389909985,0.02049188095377758,0.21981210089497125
41,0.039468990024179224,0.03421752611175179,0.021005855430848895,0.2230786484430498
42,0.03724270306527615,0.032345943385735154,0.019587038764730096,0.21979454759363432
43,0.03757733942940831,0.03222390606068075,0.02141373312100768,0.22137605324375675
44,0.03938506681472063,0.03388371868059039,0.022005392769351602,0.2196817422824316
45,0.03642083126120269,0.03125384003855288,0.02066796474158764,0.2225854196115343
46,0.03828642311505973,0.03287590758875012,0.02164206254296005,0.21646554794471942
47,0.036390000712126495,0.03113391692750156,0.021024335618130864,0.21387990990722355
48,0.03559254702180624,0.030411989102140068,0.0207222315040417,0.21868727513263417
49,0.03392754016444087,0.028831168338656427,0.02038548719603568,0.21669493932331677
50,0.03354018922895193,0.028424863927066325,0.020461301220348106,0.2113590499659956
