epoch,train_loss,supervised_mse,consistency_mse,selection_mean_rmse
1,0.1768016403540969,0.17667180668562651,0.0005193346293526701,0.39565867302624097
2,0.14457644984126092,0.14395712539553643,0.002477298037956643,0.4038399486254542
3,0.12938592566177248,0.1282827853411436,0.004412561154931609,0.3684477119400899
4,0.09043610399588943,0.08722054312005639,0.012862243969721021,0.3050459021777305
5,0.07333662173710763,0.06886671619489788,0.01787962309390423,0.30655190242248176
6,0.06257742207497358,0.05763876364566386,0.019754633212578483,0.31257420433701755
7,0.06140603639185429,0.056405797470360994,0.020000955439463723,0.2796880291288188
8,0.06100918838754296,0.05567191194742918,0.02134910612330714,0.28138820149976024
9,0.057759383632801475,0.052760895560495555,0.019993951152282533,0.26661602934047113
10,0.05918389230500907,0.053826059568673375,0.021431331255444094,0.27209048213582965
11,0.056298059867694976,0.05129293433856219,0.020020501697435977,0.27404178070300955
12,0.057459243824705485,0.051609510630369185,0.023398933866992593,0.27036015201521885
13,0.05549938052892685,0.049998009325936434,0.02200548505235929,0.28466236790670696
14,0.053119174358434974,0.04780858823098242,0.021242344502243212,0.25065057383948397
15,0.053207901858258994,0.047781692282296714,0.02170483831738238,0.28230517941851807
16,0.055215044086799024,0.04989534705877304,0.021278788832278225,0.2516091004183757
17,0.05256165920756757,0.04700769939925522,0.02221583922917489,0.26015341963568156
18,0.05071495837997645,0.04517407680861652,0.02216352619230747,0.24481693255660741
19,0.04891042601317167,0.04369832727592438,0.020848394644708605,0.25029635089172236
20,0.04725520069245249,0.042267770967446265,0.01994971793203149,0.23563852791724213
21,0.046724569760262964,0.04168906200211495,0.020142031175200827,0.23817380983682054
22,0.04467584842815995,0.0393586471863091,0.021268804841383826,0.22516375977551664
23,0.04146725338185206,0.036783487780485305,0.01873506275282125,0.21219887209064506
24,0.03892745180055499,0.0342095331964083,0.018871674139227253,0.2125436682478911
25,0.0369359108642675,0.03240513763623312,0.018123093043250264,0.21004662690026005
26,0.03625243690563366,0.031445378288626674,0.019228234238908043,0.21537691463987144
27,0.03476377326063812,0.030216399265918882,0.018189495617407375,0.2094259939213554
28,0.038095388752408324,0.03329176183789968,0.019214507784345188,0.23773608934431256
29,0.03418707977747545,0.029646634610835464,0.018161780653754248,0.21149266055325802
30,0.03395865729311481,0.029532711561769245,0.01770378304005135,0.1945148962756241
31,0.031260325871407986,0.027082714475691317,0.01671044554444961,0.2149784907381703
32,0.03396448638755828,0.029390679695643483,0.018295227146008983,0.20953541261362077
33,0.031236491093877702,0.026878933915868403,0.017430228480370714,0.22787721248912632
34,0.03487013988662511,0.03045166535070166,0.017673898997018114,0.21377614872478604
35,0.0309494209010154,0.026619214771781117,0.017320824398193508,0.2058010613196007
36,0.03102629361557774,0.02656092878431082,0.01786145944002783,0.20703871524604908
37,0.029316655204165726,0.0252026794757694,0.016455903044261505,0.19457294565570324
38,0.02809715793002397,0.02400101697538048,0.016384563767933288,0.19578112261231848
39,0.028199882729095408,0.02405832972144708,0.016566212285251822,0.20585966432011366
40,0.028377061940263956,0.024339006314985454,0.016152222943201195,0.20773397956562561
