epoch,train_loss,supervised_mse,consistency_mse,selection_mean_rmse
1,0.18982461497187614,0.18981852605938912,2.435682101349812e-05,0.4243464334337199
2,0.18827418014407157,0.18827009916305543,1.6323953427672678e-05,0.4273964627248585
3,0.18790233850479127,0.18788887545466423,5.3854252346354766e-05,0.42490557077392876
4,0.1862244886159897,0.1861830748617649,0.0001656535883739707,0.41735014887983307
5,0.17090859837830066,0.1703187710791826,0.0023593095924297814,0.3984909091475983
6,0.13996155425906182,0.13947084672749044,0.001962830527481856,0.3725445918292442
7,0.1195888977870345,0.11858313538134098,0.004023049633542541,0.3186927586524195
8,0.08389935258775949,0.08150505874305963,0.009577175512677059,0.3135339637006407
9,0.0712915020994842,0.06841576151549816,0.011502963428501971,0.2793098843725766
10,0.06969129722565412,0.0668447507917881,0.011386186623713001,0.2956202266008842
11,0.06484480539336801,0.061848353650420906,0.011985806879820302,0.2860161797928153
12,0.06166021682322025,0.05782255027443171,0.015350667500169947,0.2913822125148408
13,0.05910930175334215,0.05489748947322368,0.0168472488457337,0.2559315777609584
14,0.05607131263241172,0.05182144405320287,0.016999472964089365,0.2669271706079817
15,0.05404153639450669,0.04915757620707154,0.019535841667093337,0.25005462890549573
16,0.05515030389651656,0.05102204015478492,0.016513054424431173,0.24315884533582358
17,0.05211825659498572,0.04756466718390584,0.01821435724850744,0.24664914449742822
18,0.05029458567500114,0.04540772434324026,0.01954744674731046,0.24453536385205835
19,0.04948851911351085,0.04427641827613115,0.02084840402007103,0.23726920408934357
20,0.05200698494911194,0.04617856929078698,0.023313661783467977,0.2450259885798851
21,0.049423074554651975,0.043907290790230036,0.022063134675845503,0.23562835410636684
22,0.04509987263008952,0.039751319251954555,0.021394213321618737,0.23646483876878538
23,0.04819926900789142,0.042703008390963075,0.021985043114982547,0.23900193785697427
24,0.04711123008280992,0.04127710846252739,0.02333648668602109,0.23663089180747707
25,0.050207133758813145,0.04463779462501407,0.022277355676051228,0.2580452886954862
26,0.04467575906775892,0.039171564038842914,0.02201678097480908,0.26360207505730976
27,0.0435617090575397,0.038426924124360086,0.020539139150641858,0.2369123963412636
28,0.04539307268336415,0.039272026913240554,0.024484182693995535,0.24260843104606664
29,0.04383848163299262,0.03745678950101137,0.02552676830906421,0.23057097285786993
30,0.04351954651996493,0.03702659036964178,0.025971823625732214,0.23088281486684692
31,0.040614161221310494,0.03519207946956158,0.02168832699302584,0.23651031958992771
32,0.04408502150326967,0.03767789166420698,0.025628518550656735,0.2482609808443593
33,0.04332053802907467,0.0367998087592423,0.02608291668817401,0.2361704833021621
34,0.04233233517035842,0.036079014828428624,0.025013281404972075,0.22142444374423603
35,0.04258863016963005,0.03603680277243257,0.026207309574820103,0.23967196983069897
36,0.040236263973638414,0.03351938203908503,0.02686752804554999,0.21945226800632375
37,0.04355994356796145,0.036578199602663515,0.027926976610906422,0.2370072751090469
38,0.04210613425821066,0.03576792608946562,0.02535283286590129,0.2258499388440953
39,0.04074951533228159,0.03444993047043681,0.025198339810594918,0.23628960923147554
40,0.04167885521426797,0.03508603108115494,0.026371296423021703,0.2165635783795064
41,0.03883467100560665,0.032411025883629915,0.025694579789415,0.2237602399029369
42,0.04239551861770451,0.03569985831156373,0.026782641769386828,0.22197189452233887
43,0.04059263060800731,0.03401562253013253,0.02630803200416267,0.2286318937939477
44,0.0390696650184691,0.0329162257630378,0.024613757585175335,0.22192190674240178
45,0.03830828060396016,0.03169307471252978,0.026460824147798122,0.2182544083184515
46,0.04041254511103034,0.03461915979161859,0.02317354183644056,0.24046948496099924
47,0.039053799845278264,0.0327531861141324,0.02520245512481779,0.21139488414708435
48,0.03610488930717111,0.030197253432124854,0.023630543323233725,0.2240823134800602
49,0.037837506709620355,0.03147142485715449,0.025464327663648874,0.2204233721635067
50,0.03830094823613763,0.0319931030087173,0.02523138193413615,0.21259401242236928
