epoch,train_loss,supervised_mse,consistency_mse,selection_mean_rmse
1,0.1891108500957489,0.18910846799612047,9.525961950203054e-06,0.420979189198917
2,0.1714728834480047,0.1713132606446743,0.0006384948097638699,0.4192291742565325
3,0.1513713476806879,0.15099587976932527,0.0015018728745053523,0.3942378864865063
4,0.14379973217844963,0.1430510424822569,0.0029947595215344337,0.384361457834903
5,0.13686203621327878,0.135835402905941,0.004106532465521014,0.3793608774406564
6,0.13523111447691918,0.1341519720852375,0.004316569005895872,0.3863199224024289
7,0.12659304298460483,0.12572765715420245,0.003461544923047768,0.3703506499493732
8,0.12273917108774185,0.12111928172409535,0.0064795580472855364,0.3611470234341035
9,0.10902846187353134,0.10602020125836134,0.012033043316332624,0.33998778002206137
10,0.10163795299828053,0.09802901942282916,0.014435734912985936,0.3556663705592248
11,0.09253698576241731,0.08833979170769453,0.016788775766035543,0.35329906841124986
12,0.0902447696402669,0.08468513060361146,0.022238556059310213,0.34644706510098305
13,0.08341277267783881,0.07714375205338002,0.025076081964652986,0.34474203428274725
14,0.07562648829072714,0.06966196563094855,0.02385809222003445,0.3059753387887007
15,0.07442031364887952,0.06777320954948664,0.026588417941238732,0.31750279629578954
16,0.07496245551854372,0.06876142047345639,0.0248041401890805,0.317174435860376
17,0.06914504777640104,0.0636850130185485,0.021840138277038932,0.30125241274713754
18,0.06611867226660252,0.059826864749193194,0.025167230222432408,0.28727009899744543
19,0.06618612505495548,0.0603128394857049,0.02349314294173382,0.2852372353269275
20,0.06836093205958604,0.06243645530194044,0.023697905908338725,0.3078638573280112
21,0.06487825386226177,0.05904473390430212,0.023334079632768408,0.3024953669347461
22,0.06639727145433426,0.059909235239028934,0.02595214467844926,0.2734474206055442
23,0.0627780624292791,0.05699480328708887,0.023133036294020713,0.2669848938972304
24,0.062002572938799856,0.056175732165575025,0.023307363453204742,0.2896261829757524
25,0.0628736387193203,0.05692466745153069,0.023795885618310423,0.2730939183292273
26,0.05840167341753841,0.05288401296362281,0.022070641876198352,0.2669692866713916
27,0.06048856940120459,0.05488498695194721,0.02241433094954118,0.2563740282399467
28,0.05614461768418551,0.05067690599709749,0.021870847116224466,0.2707657354056198
29,0.05505500115454197,0.04949760921299458,0.022229567994363608,0.26475849579164895
30,0.055380154605954884,0.04979905117303133,0.022324413488386197,0.260198199235642
31,0.05383082240819931,0.048634733743965625,0.020784354684874416,0.26075757043433795
32,0.054584667272865775,0.04861265676096082,0.023888042115140708,0.25920307417619715
33,0.053562226966023446,0.04811206851154566,0.021800633373786696,0.2638399165368984
34,0.05188424874097109,0.045983203276991846,0.02360418176627718,0.25187931192940816
35,0.054934108424931766,0.049410391952842476,0.022094866561237724,0.28036239108749267
36,0.052828885819762944,0.04759110203012824,0.020951133894268423,0.24550224679846133
37,0.051419709008187056,0.04590528301894665,0.022057705154875294,0.24993810176266482
38,0.05174407472833991,0.04645907049998641,0.021140016784192993,0.24535092017365043
39,0.050248964186757804,0.044902140833437444,0.021387293769512327,0.25612575950601274
40,0.04886674104258418,0.04363080583512783,0.02094374196836725,0.23858675315820382
41,0.0487970257923007,0.04348793702200055,0.021236356326844542,0.24285142505850113
42,0.04814173778519035,0.042950178124010564,0.020766237324569375,0.24738084821316034
43,0.046571267396211626,0.04172270864248276,0.01939423541422002,0.24014638948625366
44,0.04862876757048071,0.04319545497186482,0.02173324946896173,0.24685895592885787
45,0.045897160694003104,0.040646598162129524,0.021002250839956105,0.24283532972662103
46,0.048360952856019136,0.043153564501553776,0.020829554565716536,0.25063905000201153
47,0.04665836036205292,0.041467492450028655,0.020763472059043123,0.2284685897300978
48,0.04337121391668916,0.0386588628590107,0.018849403671920298,0.2416681135753733
49,0.04178560525178909,0.03713727198541164,0.01859333292581141,0.23408275246929652
50,0.0422549426369369,0.03764322008937597,0.018446889979531988,0.22854526369795655
