model,kind,base_channels,parameters,corruption,mean_effective_sigma,rmse_to_clean_teacher,binary_accuracy_to_clean_teacher,binary_balanced_accuracy_to_clean_teacher,binary_agreement_with_own_clean_output,mae_from_own_clean_output
large,unet,32,3043969,poisson_peak_30,28.075403849283855,0.15483663874033238,0.9181790161132812,0.9181875465327387,0.9546691894531251,0.04023505002260208
large,unet,32,3043969,poisson_peak_10,46.30804951985677,0.17566361849565165,0.9045824178059896,0.9046406111122871,0.9402071126302083,0.05802023162444433
large,unet,32,3043969,speckle_std_0.1,11.499993960062662,0.14373605863318648,0.9250071207682292,0.9251412488419462,0.9868018595377605,0.012040067464113235
large,unet,32,3043969,speckle_std_0.25,27.55811373392741,0.1551416926566664,0.9168994140625,0.91692148492981,0.9570734659830729,0.03859516978263855
large,unet,32,3043969,saltpepper_prob_0.01,14.510390281677246,0.1421547540181548,0.9269346110026042,0.9270676989325749,0.9868462117513022,0.012637742174168428
large,unet,32,3043969,saltpepper_prob_0.05,32.52815373738607,0.16118537512328773,0.9150121053059895,0.9150582497045484,0.9579010009765625,0.04061667745312055
large,unet,32,3043969,sinusoid_amp_15,10.434033393859863,0.16169597042949146,0.9128273518880209,0.9128939965369451,0.963403828938802,0.03186545521020889
large,unet,32,3043969,sinusoid_amp_30,20.551355997721355,0.21300925914022922,0.8792791748046875,0.8794835448979302,0.9222976684570313,0.07037653028964996
distilled,unet,16,761665,clean,0.0,0.16948056797659675,0.9144366455078125,0.9146200562854063,1.0,0.0
distilled,unet,16,761665,awgn_15,14.555205980936686,0.17228164738101462,0.9130067952473958,0.9131743214543421,0.9871372477213542,0.012292839586734772
distilled,unet,16,761665,awgn_50,44.777400970458984,0.19898589190422813,0.8953676350911458,0.8955268385741865,0.9491219075520833,0.050535512467225395
distilled,unet,16,761665,awgn_75,62.56975428263346,0.2328462443860783,0.8696210734049479,0.869955149565065,0.9166071573893229,0.08389552682638168
distilled,unet,16,761665,awgn_100,76.81286112467448,0.2742397819921341,0.8308596801757813,0.831396162308323,0.8733867390950522,0.12354038904110591
distilled,unet,16,761665,awgn_125,87.89681752522786,0.30811754586721773,0.7895197550455729,0.7902228100103544,0.827627665201823,0.1638092299302419
distilled,unet,16,761665,awgn_150,96.28637186686198,0.340846154021792,0.7473429361979167,0.7482222283912854,0.7831486002604167,0.19956148664156595
distilled,unet,16,761665,corr_awgn_25,23.65495491027832,0.30223796607198516,0.7730320231119792,0.7723426258856831,0.7847989908854167,0.1877857744693756
distilled,unet,16,761665,corr_awgn_50,44.56797409057617,0.33704490172156315,0.7476224772135417,0.7469425175944042,0.7493190511067708,0.23966646691163382
distilled,unet,16,761665,poisson_peak_30,28.075403849283855,0.1756704387727226,0.9091440836588541,0.9092401362563137,0.9669753011067708,0.03101440705358982
