epoch,loss,hard_mse,distill_mse,selection_mean_rmse
1,0.17034576833248138,0.18895381316542625,0.1517360781878233,0.42478342327925783
2,0.16067125380039216,0.17919881507754326,0.14186776973307133,0.4133390728192034
3,0.14232072964310646,0.1600152939558029,0.12426437415182591,0.40857750962229433
4,0.13441402830183505,0.15260253123939038,0.11569744721055031,0.37922620784611766
5,0.12291563339531422,0.1405669877678156,0.10452459238469601,0.3779472267285976
6,0.11786502607166767,0.13420674070715904,0.10050299182534218,0.3968112012180189
7,0.11074000798165798,0.12681118808686734,0.09323594432324171,0.35938315746918165
8,0.10569618590176105,0.121276635825634,0.08827224053442478,0.3546933522959589
9,0.10169029157608747,0.116140905469656,0.08432139430195093,0.35274283260647066
10,0.09619536109268666,0.10945984199643136,0.07947337623685598,0.3322485485058472
11,0.08456638913601637,0.09621319942176342,0.0681104727461934,0.31853567000931626
12,0.07740329891443253,0.08838035617023707,0.060511316321790215,0.3163066566280067
13,0.07015099681913853,0.07990121614187956,0.05424160351976752,0.3054609404146018
14,0.06445118051022292,0.07405829414725304,0.047495230324566366,0.3016565859371313
15,0.058911132477223876,0.06874226316809655,0.04164799489080906,0.29778518599320863
16,0.05393417283892631,0.06337207574397326,0.03587597195059061,0.2798092063378631
17,0.05247950514778495,0.06225065540522337,0.0340782068669796,0.31268225220628215
18,0.049281741324812174,0.05793732216581702,0.03238852275535464,0.27032067459184
19,0.04617679566144943,0.05516991974785924,0.029294148422777652,0.29771074600890796
20,0.04826015144586563,0.05662024345248937,0.0308040789142251,0.2715834733194306
21,0.0463219665363431,0.055670612659305334,0.02809835409745574,0.2768167995317206
22,0.04607198018580675,0.05571438835933804,0.02780288058333099,0.26265301111330197
23,0.04454434007406235,0.05359993262216449,0.02716093256138265,0.29414895047489104
24,0.04410714806988835,0.053788870926946404,0.025942610846832394,0.26252879180401895
25,0.04232785055413842,0.051471717599779365,0.0243709419015795,0.25232210238311087
26,0.0429729799926281,0.05218646997585893,0.0251593407895416,0.273095687552354
27,0.04182500153779983,0.05097855616360903,0.024503371082246303,0.2531264221221195
28,0.03987248249351978,0.04876103693619371,0.02309584425762296,0.25140053965577575
29,0.03848345771431923,0.047569656632840636,0.021281712874770164,0.2526786300686915
30,0.04173801939934492,0.05080723010003567,0.024138633012771606,0.2598148835232991
31,0.03979253742843866,0.04903568971902132,0.02211669740267098,0.24998646695901178
32,0.04058440834283829,0.049427688159048556,0.022769131502136587,0.25676518238224016
33,0.03929459893144667,0.04843485774472356,0.02158381418325007,0.25864362641911953
34,0.03753762652166188,0.04665051546879113,0.020246730404905974,0.24143089182023103
35,0.038189116064459086,0.04704716265201569,0.020605969689786435,0.2517277489107768
36,0.03874440976418555,0.04801283834502101,0.02073514328338206,0.258744317605017
37,0.03736154455691576,0.046992586683481934,0.019352429332211613,0.2603477428413926
38,0.0336957592330873,0.042702860292047264,0.01744475418701768,0.24180151161584013
39,0.036546783689409494,0.045937955155968664,0.01871577886864543,0.23322778701364588
40,0.034462984055280685,0.04336531372740865,0.01698263575322926,0.23252275690791166
41,0.033493405282497404,0.04260595704428852,0.016224355208687483,0.2315023960426378
42,0.03276966849341988,0.04207791607826948,0.014945741444826126,0.22655224233931628
43,0.03231239296495914,0.04126599351875484,0.014875361528247595,0.22196487992216976
44,0.028635281156748533,0.036936324927955864,0.013107405533082784,0.2187138769917785
45,0.03172030488960445,0.0405847404897213,0.014582525272853673,0.22108923780155026
46,0.0285196387860924,0.037091080639511345,0.012152977669611573,0.234574987088276
47,0.027073670653626324,0.035254502519965175,0.011453943243250251,0.2110335893622211
48,0.026314492290839552,0.03463939028792083,0.010448203440755605,0.2078774186695145
49,0.027938741659745574,0.03654238765127957,0.011123073967173696,0.21996717685989217
50,0.025139300636947155,0.03331054799258709,0.010141212758608163,0.20937682383687709
