epoch,train_loss,val_accuracy,val_f1,val_auroc
1,0.6605589024225871,0.913,0.9052287581699346,0.98523
2,0.5784841578801473,0.9515,0.950383631713555,0.986056
3,0.47139674639701845,0.9515,0.9506863243518048,0.986174
4,0.380770297686259,0.95,0.9487179487179489,0.983463
5,0.30257865063349404,0.9485,0.9468798349664775,0.981217
6,0.23085250397523244,0.9485,0.9468798349664775,0.982684
7,0.1733162628809611,0.948,0.9462809917355373,0.983187
8,0.13924661791324616,0.949,0.947530864197531,0.985062
9,0.1217729698419571,0.9495,0.948178553104156,0.985487
10,0.1130979853073756,0.952,0.9508700102354146,0.986384
11,0.10806663116812706,0.9535,0.9524782830863566,0.986793
12,0.10497090299924215,0.9545,0.9535477284328739,0.987459
13,0.10307333723704021,0.9535,0.9524782830863566,0.986714
14,0.10124043770631154,0.9545,0.9536423841059603,0.988044
15,0.0998966342707475,0.954,0.9531568228105907,0.988166
16,0.09794705832004547,0.955,0.9540816326530612,0.987762
17,0.0969739582836628,0.954,0.9531090723751275,0.988332
18,0.09556069578727086,0.953,0.9521871820956257,0.988561
19,0.09448040572802226,0.953,0.9521384928716904,0.98863
20,0.09330731479326884,0.9535,0.9526235354049923,0.988709
21,0.09226432498296101,0.955,0.9543610547667342,0.98894
22,0.09147441271940868,0.9545,0.9537836465210767,0.989067
23,0.09085452298323314,0.955,0.9542217700915564,0.989101
24,0.08989627120892207,0.956,0.9552390640895217,0.989241
25,0.08924020834763845,0.957,0.95630081300813,0.989325
26,0.0884278517862161,0.957,0.95630081300813,0.989429
27,0.08781203436851502,0.9575,0.9570490146538655,0.989508
28,0.0874470075070858,0.9575,0.9568308786185882,0.989553
29,0.08707140433788299,0.9575,0.9568308786185882,0.989613
30,0.08605462385217348,0.9575,0.9568746829020801,0.989662
31,0.0854541552066803,0.9585,0.9578466226510919,0.989717
32,0.08509077567855516,0.959,0.9585020242914979,0.989762
33,0.08467280600468317,0.9585,0.9580171977744056,0.989766
34,0.08388586562871933,0.958,0.9572736520854526,0.98981
35,0.08362912611166635,0.9595,0.958904109589041,0.98984
36,0.08331395326058069,0.96,0.9594320486815415,0.989882
37,0.08291602540016174,0.96,0.9595141700404858,0.989894
38,0.0822997300227483,0.9595,0.958904109589041,0.989947
39,0.08246778935194016,0.9595,0.958904109589041,0.989961
40,0.08229719495773316,0.9595,0.958987341772152,0.989965
41,0.08142968589067459,0.96,0.9594320486815415,0.989989
42,0.08113498437404633,0.9595,0.9590288315629742,0.989996
43,0.0807930226723353,0.9615,0.9608938547486033,0.990005
44,0.08044434760014216,0.9605,0.9600808489135927,0.990012
45,0.08012087100744247,0.9605,0.96,0.990052
46,0.0802659337123235,0.9605,0.9600404653515427,0.99009
47,0.07981474456191064,0.9605,0.9600404653515427,0.990088
48,0.07942587105433146,0.9615,0.960933536276002,0.99017
49,0.07953816672166189,0.9615,0.9610520991401112,0.990167
50,0.07895762598514557,0.9605,0.9602415702063412,0.99019
51,0.07907918940981229,0.9615,0.9610520991401112,0.990203
52,0.07861286093791325,0.9615,0.9610520991401112,0.99021
53,0.07825860998034477,0.963,0.9623983739837398,0.990248
54,0.07846128990252813,0.963,0.9624365482233502,0.990259
55,0.07778076593081157,0.9625,0.9621020717534108,0.990259
56,0.07757296233375867,0.963,0.962474645030426,0.99026
57,0.07784136352936427,0.9635,0.9629629629629629,0.990284
58,0.07739249815543493,0.9625,0.9620253164556962,0.990256
59,0.07721200317144394,0.9635,0.963000506842372,0.990269
60,0.0771612407763799,0.9635,0.963000506842372,0.990287
61,0.07672742234667142,0.9635,0.963000506842372,0.990273
62,0.07654242643713952,0.9635,0.963000506842372,0.990294
63,0.07628435701131821,0.962,0.9616548940464178,0.990308
64,0.07673122696081797,0.9635,0.963000506842372,0.99029
65,0.07611209742228191,0.964,0.9634888438133874,0.990255
66,0.07633510096867879,0.9615,0.9611699445284921,0.990302
67,0.07614922954638799,0.9635,0.963000506842372,0.990269
68,0.07585559354225795,0.9635,0.963000506842372,0.990258
69,0.07538892229398092,0.9645,0.9640506329113924,0.990288
70,0.07550438326597214,0.9635,0.9631126831733198,0.990279
71,0.07510117701689402,0.9635,0.9631126831733198,0.990264
72,0.07514952333768209,0.9635,0.963000506842372,0.9902
73,0.0750138059258461,0.964,0.9635258358662613,0.990189
74,0.07469478595256805,0.9645,0.964087000505817,0.990218
75,0.07464114614327749,0.9635,0.963000506842372,0.990163
76,0.07483973529438177,0.964,0.9635258358662613,0.990175
77,0.07438549270232518,0.9635,0.963000506842372,0.990126
78,0.07435514525572459,0.9635,0.9631126831733198,0.990172
79,0.0741664317647616,0.9635,0.9631126831733198,0.990155
80,0.07387187736233075,0.964,0.9635258358662613,0.990075
81,0.0736970871090889,0.964,0.9635258358662613,0.990094
82,0.07358190340797106,0.964,0.9635258358662613,0.990065
83,0.07350932443141937,0.964,0.9635258358662613,0.990066
